key,zh-TW,en,es,de,th,fr
ui.panel.apierror,連線失敗，請稍後再試,Connection failed. Please try again later.,Fallo de conexión. Inténtalo de nuevo más tarde.,Verbindung fehlgeschlagen. Bitte später erneut versuchen.,การเชื่อมต่อล้มเหลว โปรดลองใหม่อีกครั้งในภายหลัง,Échec de la connexion. Veuillez réessayer plus tard.
welcome.title,歡迎使用計算機,Welcome to the Calculator,Bienvenido a la calculadora,Willkommen beim Rechner,ยินดีต้อนรับสู่เครื่องคำนวณ,Bienvenue dans le calculateur
welcome.usageguide,使用說明,Usage Guide,Guía de uso,Bedienungsanleitung,คู่มือการใช้งาน,Guide d'utilisation
welcome.agree,同意使用說明,Agree to the Usage Guide,Aceptar la guía de uso,Nutzungshinweise akzeptieren,ยอมรับคู่มือการใช้งาน,Accepter le guide d'utilisation
welcome.disagree,不同意,Disagree,No aceptar,Nicht akzeptieren,ไม่ยอมรับ,Refuser
welcome.tossacoin,Toss A Coin To Your Witcher,Toss A Coin To Your Witcher,Toss A Coin To Your Witcher,Toss A Coin To Your Witcher,Toss A Coin To Your Witcher,Toss A Coin To Your Witcher
welcome.featuredvideos,精選影片,Featured Videos,Videos destacados,Ausgewählte Videos,วิดีโอแนะนำ,Vidéos à la une
welcome.viewupdatelog,查看更新紀錄,View Update Log,Ver registro de actualizaciones,Update-Verlauf anzeigen,ดูบันทึกการอัปเดต,Voir le journal des mises à jour
welcome.clickherecoffee,點這裡→buy me a coffee,Click here → buy me a coffee,Haz clic aquí → buy me a coffee,Hier klicken → buy me a coffee,คลิกที่นี่ → buy me a coffee,Cliquez ici → buy me a coffee
welcome.clickhereopay,點這裡→歐付寶(需帳號),Click here → O'Pay (account required),Haz clic aquí → O'Pay (requiere cuenta),Hier klicken → O'Pay (Konto erforderlich),คลิกที่นี่ → O'Pay (ต้องมีบัญชี),Cliquez ici → O'Pay (compte requis)
nav.welcomepage,歡迎頁面,Welcome Page,Página de bienvenida,Willkommensseite,หน้าต้อนรับ,Page d'accueil
settings.darktheme,夜間模式,Dark Mode,Modo oscuro,Dunkler Modus,โหมดกลางคืน,Mode sombre
settings.zeroregion,Zero 服務器,Zero Server,Servidor Zero,Zero-Server,เซิร์ฟเวอร์ Zero,Serveur Zero
settings.zeroregion.tw,台版 樂園,Zero (Taiwan),Zero (Taiwán),Zero (Taiwan),Zero (ไต้หวัน),Zero (Taïwan)
settings.zeroregion.global,國際版 Zero (Global),Zero (Global),Zero (Global),Zero (Global),Zero (Global),Zero (Global)
settings.skillversion,技能版本,Skill Version,Versión de habilidades,Skill-Version,เวอร์ชันสกิล,Version des compétences
settings.supportskillversion,支援技能版本,Support Skill Version,Versión de habilidades de apoyo,Support-Skill-Version,เวอร์ชันสกิลสนับสนุน,Version des compétences de soutien
ui.common.reload,重新載入,Reload,Recargar,Neu laden,โหลดใหม่,Recharger
ui.skillkeyword.STR,代入總STR,Uses total STR,Usa el STR total,Verwendet gesamten STR,ใช้ค่า STR รวม,Utilise le STR total
ui.skillkeyword.AGI,代入總AGI,Uses total AGI,Usa el AGI total,Verwendet gesamten AGI,ใช้ค่า AGI รวม,Utilise l'AGI total
ui.skillkeyword.VIT,代入總VIT,Uses total VIT,Usa el VIT total,Verwendet gesamten VIT,ใช้ค่า VIT รวม,Utilise le VIT total
ui.skillkeyword.INT,代入總INT,Uses total INT,Usa el INT total,Verwendet gesamten INT,ใช้ค่า INT รวม,Utilise l'INT total
ui.skillkeyword.DEX,代入總DEX,Uses total DEX,Usa el DEX total,Verwendet gesamten DEX,ใช้ค่า DEX รวม,Utilise le DEX total
ui.skillkeyword.LUK,代入總LUK,Uses total LUK,Usa el LUK total,Verwendet gesamten LUK,ใช้ค่า LUK รวม,Utilise le LUK total
ui.skillkeyword.POW,代入總POW,Uses total POW,Usa el POW total,Verwendet gesamten POW,ใช้ค่า POW รวม,Utilise le POW total
ui.skillkeyword.STA,代入總STA,Uses total STA,Usa el STA total,Verwendet gesamten STA,ใช้ค่า STA รวม,Utilise le STA total
ui.skillkeyword.WIS,代入總WIS,Uses total WIS,Usa el WIS total,Verwendet gesamten WIS,ใช้ค่า WIS รวม,Utilise le WIS total
ui.skillkeyword.SPL,代入總SPL,Uses total SPL,Usa el SPL total,Verwendet gesamten SPL,ใช้ค่า SPL รวม,Utilise le SPL total
ui.skillkeyword.CON,代入總CON,Uses total CON,Usa el CON total,Verwendet gesamten CON,ใช้ค่า CON รวม,Utilise le CON total
ui.skillkeyword.CRT,代入總CRT,Uses total CRT,Usa el CRT total,Verwendet gesamten CRT,ใช้ค่า CRT รวม,Utilise le CRT total
ui.skillkeyword.PATK,代入總PATK,Uses total PATK,Usa el PATK total,Verwendet gesamten PATK,ใช้ค่า PATK รวม,Utilise le PATK total
ui.skillkeyword.BLV,代入角色基本等級,Uses character's base level,Usa el nivel base del personaje,Verwendet die Basis-Stufe des Charakters,ใช้เลเวลพื้นฐานของตัวละคร,Utilise le niveau de base du personnage
ui.skillkeyword.JLV,代入角色職業等級,Uses character's job level,Usa el nivel de trabajo del personaje,Verwendet die Job-Stufe des Charakters,ใช้เลเวลอาชีพของตัวละคร,Utilise le niveau de job du personnage
ui.skillkeyword.CHP,代入HP,Uses current HP,Usa la HP actual,Verwendet aktuelle HP,ใช้ HP ปัจจุบัน,Utilise les PV actuels
ui.skillkeyword.CSP,代入SP,Uses current SP,Usa la SP actual,Verwendet aktuelle SP,ใช้ SP ปัจจุบัน,Utilise les PM actuels
ui.skillkeyword.Mhp,代入MaxHP,Uses Max HP,Usa la HP máxima,Verwendet maximale HP,ใช้ HP สูงสุด,Utilise les PV maximum
ui.skillkeyword.Msp,代入MaxSP,Uses Max SP,Usa la SP máxima,Verwendet maximale SP,ใช้ SP สูงสุด,Utilise les PM maximum
ui.skillkeyword.SLV,代入技能等級,Uses skill level,Usa el nivel de la habilidad,Verwendet die Skill-Stufe,ใช้เลเวลสกิล,Utilise le niveau de la compétence
ui.skillkeyword.AEI,代入攻擊屬性,Uses attack element,Usa el elemento de ataque,Verwendet das Angriffselement,ใช้ธาตุโจมตี,Utilise l'élément d'attaque
ui.skillkeyword.WLV,代入武器等級,Uses weapon level,Usa el nivel del arma,Verwendet die Waffenstufe,ใช้เลเวลอาวุธ,Utilise le niveau de l'arme
ui.skillkeyword.WGT,代入武器重量,Uses weapon weight,Usa el peso del arma,Verwendet das Waffengewicht,ใช้น้ำหนักอาวุธ,Utilise le poids de l'arme
ui.skillkeyword.WTI,代入武器類型,Uses weapon type ID,Usa el ID de tipo de arma,Verwendet die Waffentyp-ID,ใช้ ID ประเภทอาวุธ,Utilise l'ID du type d'arme
ui.skillkeyword.IS_GUN,IS_GUN(X) 判定是否為槍系武器,IS_GUN(X): checks if the weapon is a gun-type weapon,IS_GUN(X): comprueba si el arma es de tipo pistola,IS_GUN(X): prüft ob die Waffe eine Schusswaffe ist,IS_GUN(X): ตรวจสอบว่าอาวุธเป็นประเภทปืนหรือไม่,IS_GUN(X) : vérifie si l'arme est une arme à feu
ui.skillkeyword.WPT,WPT(Books) 判定武器類型,WPT(Books): checks the weapon type,WPT(Books): comprueba el tipo de arma,WPT(Books): prüft den Waffentyp,WPT(Books): ตรวจสอบประเภทอาวุธ,WPT(Books) : vérifie le type d'arme
ui.skillkeyword.SRL,代入盾牌精煉,Uses shield refine level,Usa el nivel de refinado del escudo,Verwendet die Schild-Verfeinerungsstufe,ใช้ระดับตีเสริมโล่,Utilise le niveau de raffinage du bouclier
ui.skillkeyword.SHW,代入盾牌重量,Uses shield weight,Usa el peso del escudo,Verwendet das Schildgewicht,ใช้น้ำหนักโล่,Utilise le poids du bouclier
ui.skillkeyword.CRW,代入手推車重量,Uses cart weight,Usa el peso del carro,Verwendet das Wagengewicht,ใช้น้ำหนักเกวียน,Utilise le poids du chariot
ui.skillkeyword.ELV,代入敵方等級,Uses enemy level,Usa el nivel del enemigo,Verwendet die Gegnerstufe,ใช้เลเวลศัตรู,Utilise le niveau de l'ennemi
ui.skillkeyword.ESIZE,代入敵方體型,Uses enemy size,Usa el tamaño del enemigo,Verwendet die Gegnergröße,ใช้ขนาดตัวศัตรู,Utilise la taille de l'ennemi
ui.skillkeyword.EVit,代入敵方VIT,Uses enemy VIT,Usa el VIT del enemigo,Verwendet das VIT des Gegners,ใช้ VIT ของศัตรู,Utilise le VIT de l'ennemi
ui.skillkeyword.MUL,"MUL(A,B)為A*B, B若>1則無條件捨去, B若<1則無條件進位","MUL(A,B) = A x B; rounds down if B>=1, rounds up if B<1","MUL(A,B) = A x B; redondea hacia abajo si B>=1, hacia arriba si B<1","MUL(A,B) = A x B; rundet ab wenn B>=1, rundet auf wenn B<1","MUL(A,B) = A x B ปัดลงถ้า B>=1 ปัดขึ้นถ้า B<1","MUL(A,B) = A x B ; arrondi à l'inférieur si B>=1, à l'supérieur si B<1"
ui.skillkeyword.DOWN,DOWN(A) 小數點無條件捨去,DOWN(A): rounds down (floor),DOWN(A): redondea hacia abajo,DOWN(A): rundet ab,DOWN(A): ปัดเศษลง,DOWN(A) : arrondi à l'inférieur
ui.skillkeyword.UP,UP(A) 小數點無條件進位,UP(A): rounds up (ceiling),UP(A): redondea hacia arriba,UP(A): rundet auf,UP(A): ปัดเศษขึ้น,UP(A) : arrondi à l'supérieur
ui.consumable.title,消耗品,Consumables,Consumibles,Verbrauchsgegenstände,ไอเทมสิ้นเปลือง,Consommables
ui.consumable.dialogtitle,使用消耗品,Use Consumables,Usar consumibles,Verbrauchsgegenstände verwenden,ใช้ไอเทมสิ้นเปลือง,Utiliser des consommables
ui.consumable.statseffect,統計效果,Stat Summary,Resumen de estadísticas,Statistik-Übersicht,สรุปค่าสถานะ,Résumé des statistiques
ui.consumable.tab.stat,素質,Stats,Atributos,Attribute,ค่าสถานะ,Statistiques
ui.consumable.tab.battle,戰鬥藥劑,Battle Items,Objetos de batalla,Kampfgegenstände,ไอเทมต่อสู้,Objets de combat
ui.consumable.zerostattypemax,Zero套餐(取最大),Zero Set Meal (Highest),Comida Zero (máximo),Zero-Menü (Höchstwert),ชุดอาหาร Zero (สูงสุด),Repas Zero (maximum)
ui.consumable.stattypemax,素質類(取最大),Stat Type (Highest),Tipo de atributo (máximo),Attributtyp (Höchstwert),ประเภทค่าสถานะ (สูงสุด),Type de statistique (maximum)
ui.consumable.atkup,ATK提升,ATK Boost,Aumento de ATK,ATK-Erhöhung,เพิ่ม ATK,Bonus ATK
ui.consumable.matkup,MATK提升,MATK Boost,Aumento de MATK,MATK-Erhöhung,เพิ่ม MATK,Bonus MATK
ui.consumable.criup,爆擊率%提升,Critical Rate % Boost,Aumento de Tasa Crítica %,Krit-Rate-%-Erhöhung,เพิ่ม % อัตราคริ,Bonus % de taux critique
ui.consumable.stattypestack,素質類(可疊加),Stat Type (Stackable),Tipo de atributo (acumulable),Attributtyp (stapelbar),ประเภทค่าสถานะ (ซ้อนได้),Type de statistique (cumulable)
ui.consumable.hpsp,HP SP(可疊加),HP SP (Stackable),HP SP (acumulable),HP SP (stapelbar),HP SP (ซ้อนได้),HP SP (cumulable)
ui.consumable.atkmatkup,"ATK MATK提升(取最大, 面板不顯示)","ATK MATK Boost (Highest, not shown on panel)","Aumento de ATK MATK (máximo, no se muestra en el panel)","ATK MATK-Erhöhung (Höchstwert, nicht im Panel angezeigt)","เพิ่ม ATK MATK (สูงสุด, ไม่แสดงในพาเนล)","Bonus ATK MATK (maximum, non affiché sur le panneau)"
ui.consumable.independent,獨立系統(可疊加),Independent System (Stackable),Sistema independiente (acumulable),Unabhängiges System (stapelbar),ระบบอิสระ (ซ้อนได้),Système indépendant (cumulable)
ui.consumable.battlepotion,戰鬥藥(擇一),Battle Potion (Choose One),Poción de batalla (elige una),Kampftrank (eine Wahl),ยาต่อสู้ (เลือกหนึ่ง),Potion de combat (choisir une)
ui.consumable.magiccandy,魔法糖(擇一),Magic Candy (Choose One),Caramelo mágico (elige uno),Magisches Bonbon (eine Wahl),ลูกอมเวทมนตร์ (เลือกหนึ่ง),Bonbon magique (choisir un)
ui.consumable.aspdpotion,攻速藥水(擇一),ASPD Potion (Choose One),Poción de ASPD (elige una),ASPD-Trank (eine Wahl),ยา ASPD (เลือกหนึ่ง),Potion d'ASPD (choisir une)
ui.consumable.transscroll,變身卷軸,Transformation Scroll,Pergamino de transformación,Verwandlungsrolle,ม้วนคาถาแปลงร่าง,Parchemin de transformation
ui.equip.aiparse,AI解析,AI Parse,Análisis IA,KI-Analyse,วิเคราะห์ด้วย AI,Analyse IA
ui.aiparser.title,AI 裝備效果解析,AI Equipment Effect Parser,Analizador de Efectos de Equipo IA,KI-Ausrüstungseffekt-Analysator,ตัววิเคราะห์เอฟเฟกต์อุปกรณ์ AI,Analyseur d'effets d'équipement IA
ui.aiparser.applyblocks,套用（{n} 區塊）,Apply ({n} blocks),Aplicar ({n} bloques),Anwenden ({n} Blöcke),ใช้ ({n} บล็อก),Appliquer ({n} blocs)
ui.aiparser.tab.main,裝備說明與解析,Description & Parsing,Descripción y análisis,Beschreibung & Analyse,คำอธิบายและการวิเคราะห์,Description et analyse
ui.aiparser.tab.promptpreview,提詞預覽,Prompt Preview,Vista previa del prompt,Prompt-Vorschau,ตัวอย่างพรอมต์,Aperçu du prompt
ui.aiparser.recommendedsites,推薦資料站,Recommended databases,Bases de datos recomendadas,Empfohlene Datenbanken,ฐานข้อมูลแนะนำ,Bases de données recommandées
ui.aiparser.step1,步驟1：貼上裝備說明,Step 1: Paste equipment description,Paso 1: Pega la descripción del equipo,Schritt 1: Ausrüstungsbeschreibung einfügen,ขั้นตอนที่ 1: วางคำอธิบายอุปกรณ์,Étape 1 : coller la description de l'équipement
ui.aiparser.step1.placeholder,貼上裝備的完整說明文字（英文/中文皆可，可包含精鍊效果、搭配套裝、階級追加效果）,"Paste the full equipment description (English or Chinese; can include refine effects, set bonuses, tier bonuses)","Pega la descripción completa del equipo (inglés o chino; puede incluir efectos de refinamiento, bonos de conjunto, bonos de nivel)","Vollständige Ausrüstungsbeschreibung einfügen (Englisch oder Chinesisch; kann Veredelungseffekte, Set-Boni, Stufen-Boni enthalten)",วางคำอธิบายอุปกรณ์ฉบับเต็ม (ภาษาอังกฤษหรือจีนก็ได้ อาจรวมเอฟเฟกต์ตีบวก โบนัสชุด โบนัสระดับ),"Collez la description complète de l'équipement (anglais ou chinois, peut inclure les effets de raffinement, bonus d'ensemble, bonus de rang)"
ui.aiparser.weaponbase.title,偵測到武器基本資料：,Detected weapon base data:,Datos base del arma detectados:,Erkannte Waffen-Basisdaten:,ตรวจพบข้อมูลพื้นฐานอาวุธ:,Données de base de l'arme détectées :
ui.aiparser.weaponbase.type,系列,Type,Tipo,Typ,ประเภท,Type
ui.aiparser.weaponbase.atk,攻擊,ATK,ATK,ATK,ATK,ATK
ui.aiparser.weaponbase.weight,重量,Weight,Peso,Gewicht,น้ำหนัก,Poids
ui.aiparser.weaponbase.applyto,套用到,Apply to,Aplicar a,Anwenden auf,ใช้กับ,Appliquer à
ui.aiparser.step2,步驟2：選擇部位／精鍊，並複製到任何 AI Chat,"Step 2: Choose part/refine, then copy to any AI chat","Paso 2: Elige la parte/refinamiento y copia a cualquier chat de IA",Schritt 2: Teil/Veredelung wählen und in einen KI-Chat kopieren,ขั้นตอนที่ 2: เลือกตำแหน่ง/ตีบวก แล้วคัดลอกไปยังแชท AI ใดก็ได้,"Étape 2 : choisir la pièce/le raffinement, puis copier vers un chat IA"
ui.aiparser.step2.hint.prefix,例如,e.g.,por ejemplo,z. B.,เช่น,par ex.
ui.aiparser.step2.hint.suffix,等皆可,"etc., all supported","etc., todos son compatibles",usw. (alle unterstützt),เป็นต้น (รองรับทั้งหมด),"etc., tous pris en charge"
ui.aiparser.refine,精鍊,Refine,Refinamiento,Veredelung,ตีบวก,Raffinement
ui.aiparser.copyprompt,複製提詞＋裝備說明,Copy Prompt + Description,Copiar prompt + descripción,Prompt + Beschreibung kopieren,คัดลอกพรอมต์ + คำอธิบาย,Copier le prompt + la description
ui.aiparser.copy.success,已複製！把 AI 的回覆貼回下面的欄位。,"Copied!then paste the AI's reply back into the field below.","¡Copiado! y luego pega la respuesta de la IA en el campo de abajo.",Kopiert! und füge die Antwort der KI unten wieder ein.,คัดลอกแล้ว!แล้ววางคำตอบของ AI กลับมาที่ช่องด้านล่าง,"Copié!puis collez la réponse de l'IA dans le champ ci-dessous."
ui.aiparser.copy.fail,自動複製失敗，請切換到「提詞預覽」分頁手動全選（Ctrl+A）複製。,"Auto-copy failed. Switch to the ""Prompt Preview"" tab and manually select all (Ctrl+A) to copy.","Error al copiar automáticamente. Cambia a la pestaña ""Vista previa del prompt"" y selecciona todo manualmente (Ctrl+A) para copiar.","Automatisches Kopieren fehlgeschlagen. Wechsle zum Tab ""Prompt-Vorschau"" und wähle manuell alles aus (Strg+A), um zu kopieren.","คัดลอกอัตโนมัติล้มเหลว กรุณาสลับไปที่แท็บ ""ตัวอย่างพรอมต์"" แล้วเลือกทั้งหมดด้วยตนเอง (Ctrl+A) เพื่อคัดลอก","Échec de la copie automatique. Passez à l'onglet « Aperçu du prompt » et sélectionnez tout manuellement (Ctrl+A) pour copier."
ui.aiparser.step3,步驟3：貼上 AI 回覆,Step 3: Paste the AI reply,Paso 3: Pega la respuesta de la IA,Schritt 3: KI-Antwort einfügen,ขั้นตอนที่ 3: วางคำตอบของ AI,Étape 3 : coller la réponse de l'IA
ui.aiparser.step3.placeholder,貼上 AI 回覆的 JSON 內容,Paste the AI's JSON reply here,Pega el contenido JSON de la respuesta de la IA,JSON-Inhalt der KI-Antwort hier einfügen,วางเนื้อหา JSON จากคำตอบของ AI,Collez ici le contenu JSON de la réponse de l'IA
ui.aiparser.parsebutton,解析回覆,Parse Reply,Analizar respuesta,Antwort analysieren,วิเคราะห์คำตอบ,Analyser la réponse
ui.aiparser.error.invalidjson,貼上的內容不是合法的 JSON，請確認是否完整複製了 AI 的回覆：{detail},The pasted content isn't valid JSON. Please check that you copied the AI's full reply: {detail},El contenido pegado no es un JSON válido. Verifica que copiaste la respuesta completa de la IA: {detail},"Der eingefügte Inhalt ist kein gültiges JSON. Bitte prüfe, ob du die vollständige KI-Antwort kopiert hast: {detail}",เนื้อหาที่วางไม่ใช่ JSON ที่ถูกต้อง โปรดตรวจสอบว่าคุณคัดลอกคำตอบของ AI มาครบถ้วนหรือไม่: {detail},Le contenu collé n'est pas un JSON valide. Vérifiez que vous avez copié la réponse complète de l'IA : {detail}
ui.aiparser.error.badformat,貼上的 JSON 格式不是預期的 {groups:[...]},The pasted JSON isn't in the expected {groups:[...]} format,El JSON pegado no tiene el formato esperado {groups:[...]},Das eingefügte JSON hat nicht das erwartete Format {groups:[...]},JSON ที่วางไม่ได้อยู่ในรูปแบบที่คาดไว้ {groups:[...]},Le JSON collé n'a pas le format attendu {groups:[...]}
ui.aiparser.error.unknownids,沒有解析出任何已知效果。回覆裡有計算機不認得的id：{ids}（按F12打開主控台可看到完整清單）,No known effects were parsed. The reply contains ids the calculator doesn't recognize: {ids} (press F12 to open the console for the full list),No se analizó ningún efecto conocido. La respuesta contiene id que la calculadora no reconoce: {ids} (presiona F12 para abrir la consola y ver la lista completa),"Es wurden keine bekannten Effekte erkannt. Die Antwort enthält IDs, die der Rechner nicht kennt: {ids} (F12 drücken, um die vollständige Liste in der Konsole zu sehen)",ไม่พบเอฟเฟกต์ที่รู้จักเลย คำตอบมี id ที่เครื่องคำนวณไม่รู้จัก: {ids} (กด F12 เพื่อเปิดคอนโซลดูรายการทั้งหมด),Aucun effet connu n'a été analysé. La réponse contient des id que le calculateur ne reconnaît pas : {ids} (appuyez sur F12 pour ouvrir la console et voir la liste complète)
ui.aiparser.error.noeffects,沒有解析出任何已知效果，請確認貼上的 JSON 內容是否正確,No known effects were parsed. Please check that the pasted JSON content is correct,No se analizó ningún efecto conocido. Verifica que el contenido JSON pegado sea correcto,"Es wurden keine bekannten Effekte erkannt. Bitte prüfe, ob der eingefügte JSON-Inhalt korrekt ist",ไม่พบเอฟเฟกต์ที่รู้จักเลย โปรดตรวจสอบว่าเนื้อหา JSON ที่วางถูกต้องหรือไม่,Aucun effet connu n'a été analysé. Vérifiez que le contenu JSON collé est correct
ui.aiparser.promptpreview.placeholder,提詞預覽（若自動複製失敗，可在此欄位手動全選複製）,"Prompt preview (if auto-copy fails, select all manually here to copy)","Vista previa del prompt (si falla la copia automática, selecciona todo aquí manualmente para copiar)","Prompt-Vorschau (wenn das automatische Kopieren fehlschlägt, hier manuell alles auswählen und kopieren)",ตัวอย่างพรอมต์ (หากคัดลอกอัตโนมัติล้มเหลว สามารถเลือกทั้งหมดที่นี่เพื่อคัดลอกเองได้),"Aperçu du prompt (si la copie automatique échoue, sélectionnez tout ici manuellement pour copier)"
ui.aiparser.refinelevel.label,要換算到第幾精鍊：,Convert to refine level:,Convertir al nivel de refinamiento:,Auf welche Veredelungsstufe umrechnen:,แปลงเป็นระดับตีบวกที่:,Convertir au niveau de raffinement :
ui.aiparser.refinelevel.hint,（跟左側同一個設定，調整這裡「每精鍊+N」的效果會即時重算）,"(Same setting as the left side; adjusting this recalculates ""every +N refine"" effects instantly)","(Mismo ajuste que el lado izquierdo; al cambiarlo, los efectos ""cada +N de refinamiento"" se recalculan al instante)","(Gleiche Einstellung wie links; Anpassung berechnet ""je +N Veredelung""-Effekte sofort neu)","(การตั้งค่าเดียวกับด้านซ้าย การปรับที่นี่จะคำนวณเอฟเฟกต์ ""ทุก +N ตีบวก"" ใหม่ทันที)","(Même réglage qu'à gauche ; ajuster ceci recalcule instantanément les effets « tous les +N raffinements »)"
ui.aiparser.groups.summary,解析出 {total} 個區塊，已勾選 {checked} 個（勾選代表你實際有這個條件，才會套用進裝備）：,"Parsed {total} block(s), {checked} checked (checking means you actually meet that condition, so it'll be applied to the equipment):","Se analizaron {total} bloque(s), {checked} marcado(s) (marcar significa que realmente cumples esa condición, así que se aplicará al equipo):","{total} Block/Blöcke analysiert, {checked} ausgewählt (ein Häkchen bedeutet, dass die Bedingung wirklich zutrifft und auf die Ausrüstung angewendet wird):",วิเคราะห์ได้ {total} บล็อก เลือกแล้ว {checked} บล็อก (การเลือกหมายความว่าคุณมีเงื่อนไขนี้จริง จึงจะนำไปใช้กับอุปกรณ์):,"{total} bloc(s) analysé(s), {checked} coché(s) (cocher signifie que vous remplissez réellement cette condition, elle sera donc appliquée à l'équipement) :"
ui.aiparser.groups.empty,尚未解析出任何區塊，請先在左側貼上說明、複製提詞、把 AI 回覆貼回來後按「解析回覆」。,"No blocks parsed yet. On the left, paste the description, copy the prompt, paste the AI's reply back, then click ""Parse Reply"".","Aún no se ha analizado ningún bloque. A la izquierda, pega la descripción, copia el prompt, pega la respuesta de la IA y luego haz clic en ""Analizar respuesta"".","Noch keine Blöcke analysiert. Links die Beschreibung einfügen, den Prompt kopieren, die KI-Antwort wieder einfügen und dann auf „Antwort analysieren“ klicken.","ยังไม่ได้วิเคราะห์บล็อกใดๆ กรุณาวางคำอธิบายทางด้านซ้าย คัดลอกพรอมต์ วางคำตอบของ AI กลับมา แล้วกด ""วิเคราะห์คำตอบ""","Aucun bloc analysé pour l'instant. À gauche, collez la description, copiez le prompt, collez la réponse de l'IA, puis cliquez sur « Analyser la réponse »."
ui.aiparser.refinesuffix,精鍊：,Refine:,Refinamiento:,Veredelung:,ตีบวก:,Raffinement :
ui.aiparser.searchoption.placeholder,搜尋選項,Search options,Buscar opciones,Optionen suchen,ค้นหาตัวเลือก,Rechercher une option
ui.aiparser.mergedpreview.title,套用後加總預覽（勾選區塊相同效果會加總成一筆寫入裝備）：,"Total preview after applying (checked blocks with the same effect are summed into one entry written to the equipment):","Vista previa total tras aplicar (los bloques marcados con el mismo efecto se suman en una sola entrada escrita en el equipo):","Summenvorschau nach Anwendung (ausgewählte Blöcke mit demselben Effekt werden zu einem Eintrag in der Ausrüstung summiert):",ตัวอย่างผลรวมหลังใช้งาน (บล็อกที่เลือกซึ่งมีเอฟเฟกต์เดียวกันจะรวมเป็นรายการเดียวที่เขียนลงอุปกรณ์):,"Aperçu du total après application (les blocs cochés ayant le même effet sont additionnés en une seule entrée écrite sur l'équipement) :"
ui.aiparser.targetedpreview.title,指定對象效果加總預覽（技能/種族/體型/階級/屬性，按上方「套用」時一起寫入裝備）：,"Targeted-effect total preview (skill/race/size/level/element; written to the equipment together when you click ""Apply"" above):","Vista previa total de efectos dirigidos (habilidad/raza/tamaño/nivel/elemento; se escriben en el equipo junto al hacer clic en ""Aplicar"" arriba):","Summenvorschau gezielter Effekte (Skill/Rasse/Größe/Stufe/Element; wird beim Klick auf „Anwenden“ oben zusammen in die Ausrüstung geschrieben):","ตัวอย่างผลรวมเอฟเฟกต์เฉพาะเป้าหมาย (สกิล/เผ่าพันธุ์/ขนาด/ระดับ/ธาตุ เมื่อกด ""ใช้"" ด้านบนจะเขียนลงอุปกรณ์พร้อมกัน):","Aperçu du total des effets ciblés (compétence/race/taille/rang/élément ; écrits sur l'équipement en même temps lorsque vous cliquez sur « Appliquer » ci-dessus) :"
ui.aiparser.group.fallbackname,區塊 {n},Block {n},Bloque {n},Block {n},บล็อก {n},Bloc {n}
ui.aiparser.group.thisblock,此區塊,This block,Este bloque,Dieser Block,บล็อกนี้,Ce bloc
ui.common.nodata,暫無資料,No data,Sin datos,Keine Daten,ไม่มีข้อมูล,Aucune donnée
ui.skilltree.open,技能樹,Skill Tree,,,,
ui.skilltree.title,技能樹配點,Skill Tree Planner,,,,
ui.skilltree.selectclass,選擇職業,Select Class,,,,
ui.skilltree.reset,重置,Reset,,,,
ui.skilltree.usagehint,使用滑鼠滾輪調整等級、雙擊設定為最大等級；這邊僅模擬配點，不包含計算機本身的被動／BUFF效果,"Use the mouse wheel to adjust level, double-click to set to max level. This only simulates point allocation and does not include the calculator's own passive/buff effects.",,,,
ui.skilltree.pointsused,已用點數,Points Used,,,,
ui.skilltree.hoverhint,點一下技能方塊可釘選右側說明,Click a skill tile to pin its details on the right,,,,
ui.skilltree.prereq,前置需求,Prerequisites,,,,
ui.skilltree.questsatisfied,任務取得，視為已滿足,Obtained via quest; treated as satisfied,,,,
ui.skilltree.perlevel,各等級 SP,SP per level,,,,
ui.skilltree.castdelay,詠唱延遲,Cast Delay,,,,
ui.skilltree.fixedcast,固定詠唱,Fixed Cast,,,,
ui.skilltree.variablecast,變動詠唱,Variable Cast,,,,
ui.skilltree.quest,任務,Quest,,,,
ui.skilltree.overflow,（本頁超出上限 {n} 點，由後續轉職點數池支應）,"(This tier is {n} points over its cap, covered by later tiers' point pools)",,,,
ui.skilltree.lent,（其中 {n} 點借給前面轉職使用）,"(Of which {n} points are lent to an earlier tier)",,,,
ui.skilltree.insufficient,⚠ 目前配點總和超出所有轉職點數池加總 {n} 點,⚠ Total points allocated exceed the combined point pool of all tiers by {n},,,,
ui.skilltree.applyskill,套用,Apply,,,,
settings.skilltreesource,技能樹資料來源,Skill Tree Data Source,,,,
settings.skilltreesource.zero,Zero,Zero,,,,
settings.skilltreesource.standard,標準版(含三轉四轉),Standard (incl. 3rd/4th job),,,,
